canonical_reported_name,province_reported,city_reported,trial_count,active_trial_count,name_variants,resolution_status,candidate_count,first_trial_id,source_url,review_reason,candidates_json
Shantou Central Hospital,Guangdong,Shantou,17,9,Shantou Central Hospital,unmatched,0,NCT03494920,https://clinicaltrials.gov/study/NCT03494920,,[]
Shenzhen Second People's Hospital,,Shenzhen,17,6,Shenzhen Second People's Hospital | Shenzhen Second People'S Hospital,unmatched,0,NCT03589378,https://clinicaltrials.gov/study/NCT03589378,,[]
Sichuan Cancer Hospital & Institute,Sichuan,Chengdu,17,8,Sichuan Cancer Hospital & Institute | Sichuan Cancer Hospital&Institute,unmatched,0,NCT02076477,https://clinicaltrials.gov/study/NCT02076477,,[]
The Fifth Affiliated Hospital of Guangzhou Medical University,Guangdong,Guangzhou,17,12,The Fifth Affiliated Hospital of Guangzhou Medical University | The Fifth Affiliated Hospital of Guangzhou Medical University.,unmatched,0,NCT03007160,https://clinicaltrials.gov/study/NCT03007160,,[]
The First People's Hospital of Yunnan Province,,Kunming,17,6,The First People's Hospital of Yunnan Province | the First People's Hospital of Yunnan Province,unmatched,0,NCT03519945,https://clinicaltrials.gov/study/NCT03519945,,[]
The Fourth Affiliated Hospital of China Medical University,Liaoning,Shenyang,17,9,The Fourth Affiliated Hospital of China Medical University | The Fourth Affiliated Hospital Of China Medical University | the Fourth Affiliated Hospital of China Medical University,unmatched,0,NCT00786136,https://clinicaltrials.gov/study/NCT00786136,,[]
The Second Affiliated Hospital of Henan University of Science and Technology,Henan,Luoyang,17,5,The Second Affiliated Hospital of Henan University of Science and Technology | The Second Affiliated Hospital of Henan University of science and technology | The Second Affiliated Hospital of Henan University of Science and technology,unmatched,0,NCT04078737,https://clinicaltrials.gov/study/NCT04078737,,[]
The Second Affiliated Hospital of Wannan Medical College,Anhui,Wuhu,17,7,The Second Affiliated Hospital of Wannan Medical College | The Second affiliated Hospital of Wannan Medical College,unmatched,0,NCT06192264,https://clinicaltrials.gov/study/NCT06192264,,[]
The Second Hospital of Dalian Medical University,,Dalian,17,4,The Second Hospital of Dalian Medical University | The second Hospital of Dalian Medical University | The second hospital of Dalian medical university,unmatched,0,NCT02112656,https://clinicaltrials.gov/study/NCT02112656,,[]
The Third People's Hospital of Chengdu,Sichuan,Chengdu,17,8,The Third People's Hospital of Chengdu | the Third People'S Hospital of Chengdu | The Third Peoples' Hospital of Chengdu | The third People's Hospital of Chengdu | The third people's hospital of chengdu | the Third People's Hospital of Chengdu,unmatched,0,NCT01437514,https://clinicaltrials.gov/study/NCT01437514,,[]
