hospital_id,official_name,filing_number,alias,normalized_alias,kind,evidence_status,source_url,accessed_at,valid_from,valid_to
cnha-cfdi-b2067f98c0a8033353638fd850cca5f0,黑龙江中医药大学附属第三医院,药临床机构备字2024000017,黑龙江中医药大学附属第三医院,黑龙江中医药大学附属第三医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-b21ea95cc0a803334c1e59472a85a37a,绵阳市中医医院,药临床机构备字2022000171,绵阳市中医医院,绵阳市中医医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,,
cnha-cfdi-b224c3b1c0a8033306359ea8137a6e2f,六盘水首钢水钢医院有限公司,药临床机构备字2022000174,六盘水首钢水钢医院有限公司,六盘水首钢水钢医院有限公司,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,,
cnha-cfdi-b2306327c0a803332cc85be7fb6f627a,河北省儿童医院,药临床机构备字2024000046,河北省儿童医院,河北省儿童医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-b2392464c0a803330d2ca55809249b8f,台州市第二人民医院,药临床机构备字2025000071,台州市第二人民医院,台州市第二人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,,
cnha-cfdi-b24d02adc0a803333cec60389a147c38,大冶市中医医院,药临床机构备字2026000133,大冶市中医医院,大冶市中医医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,,
cnha-cfdi-b2549f3ac0a803331c8b3dfce20bc9d7,石河子市人民医院,药临床机构备字2025000053,石河子市人民医院,石河子市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,,
cnha-cfdi-b25aff77c0a8033370ea47a8773e6e80,重庆市江津区中心医院,药临床机构备字2020000391,重庆市江津区中心医院,重庆市江津区中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,,
cnha-cfdi-b262d5cac0a803334b7f5fbc89516e15,沈阳市第五人民医院,药临床机构备字2020000843,沈阳市第五人民医院,沈阳市第五人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,,
cnha-cfdi-b2779d0bc0a80333060a0020985b123b,潍坊市益都中心医院,药临床机构备字2021000171,潍坊市益都中心医院,潍坊市益都中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,,
