hospital_id,official_name,candidate_alias,source_url,status,reason
cnha-cfdi-4285d661c0a80333643c35b45e2737d8,南通市妇幼保健院（南通市儿童医院、南通市妇幼保健院互联网医院）,南通市妇幼保健院互联网医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-42d95032c0a80333133ed997a11b066f,首都医科大学附属北京儿童医院,Beijing Children’s Hospital,https://ror.org/04skmn292,review_required,Reference-only name; not approved for resolution
cnha-cfdi-42dc8a48c0a803334827b64f48cbe902,宁海县第一医院,First Hospital of Ninghai County,https://ror.org/03h0b2y74,review_required,Reference-only name; not approved for resolution
cnha-cfdi-42dc8a48c0a803334827b64f48cbe902,宁海县第一医院,Ninghai County First Hospital,https://ror.org/03h0b2y74,review_required,Reference-only name; not approved for resolution
cnha-cfdi-42dc8a48c0a803334827b64f48cbe902,宁海县第一医院,Ninghai First Hospital Medicare and Health Group,https://ror.org/03h0b2y74,review_required,Reference-only name; not approved for resolution
cnha-cfdi-44259fd7c0a80333772e83dcfca7e60f,上海交通大学医学院附属上海儿童医学中心,SCMC,https://ror.org/00cd9s024,review_required,Reference-only name; not approved for resolution
cnha-cfdi-44259fd7c0a80333772e83dcfca7e60f,上海交通大学医学院附属上海儿童医学中心,Shanghai Children's Medical Center,https://ror.org/00cd9s024,review_required,Reference-only name; not approved for resolution
cnha-cfdi-443b6fddc0a803334e068a5722e251fc,贵州省人民医院,Guizhou Provincial People's Hospital,https://ror.org/046q1bp69,review_required,Reference-only name; not approved for resolution
cnha-cfdi-4444e6f9c0a80333690871be04ab6545,成都市第三人民医院,Chengdu Third People's Hospital,https://ror.org/00ebdgr24,review_required,Reference-only name; not approved for resolution
cnha-cfdi-4444e6f9c0a80333690871be04ab6545,成都市第三人民医院,Third People's Hospital of Chengdu,https://ror.org/00ebdgr24,review_required,Reference-only name; not approved for resolution
cnha-cfdi-447c2c0fc0a8033306e7455935ce5d05,首都医科大学附属北京潞河医院,Beijing Luhe Hospital Affiliated to Capital Medical University,https://ror.org/01zyn4z03,review_required,Reference-only name; not approved for resolution
cnha-cfdi-448dcc59c0a80333001db6167761a323,鹤岗市人民医院,Hegang People's Hospital,https://ror.org/02sx09p05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-44db4bffc0a8033313e33b5544492482,承德医学院附属医院,Affiliated Hospital of Chengde Medical College,https://ror.org/01bgds823,review_required,Reference-only name; not approved for resolution
